,mileage,first registration,power,gearbox,engine size,gears,fuel type,fuel consumption,co₂-emissions,colour,manufacturer colour,radio,body type,type,seats,doors,country version,offer number,model code,previous owner,emission class,non-smoker vehicle,price,VAT,equipment,contact_name,contact_number,contact_address,company_name
audi a4 ohne tüv,"450,000 km",09/1995,92 kw (125 hp),manual,"1,781 cc",5,regular/benzine 91,0 l/100 km (comb.),0 g/km (comb.),blue,blau,,sedan,used,0,5,germany,1091410,3333/agl,2,euro 1,yes,€ 390.,,"air conditioning,
automatic climate control,
power windows,",team verkauf,+49 (0)5365 - 96062,"neue straße 53,
38444 wolfsburg heiligendorf, de",hoffmann automobile
bmw 520 baureihe 5 limo 520i,"202,000 km",09/1999,110 kw (150 hp),manual,"1,991 cc",5,gasoline,9 l/100 km (comb.),215 g/km (comb.),grey,blau,,sedan,used,5,4,germany,1091410,0005/569,5,euro 4,yes,€ 999.,,"air conditioning,
Armrest,
automatic climate control,
electrical side mirrors,
leather steering wheel,
power windows,
Sunroof,",hermez mersa,+49 (0)7151 - 2513006,"mercedesstrasse 1,
71384 weinstadt-endersbach, de",mersa automobile
ford mondeo turnier trend klimaanlage cd/radio,"370,000 km",02/2003,85 kw (116 hp),manual,"1,998 cc",5,diesel,6.3 l/100 km (comb.),167 g/km (comb.),red,salsa-rot metallic,,station wagon,used,5,4,germany,3233,0005/569,5,euro 3,yes,"€ 1,000.",,"air conditioning,
Armrest,
electrical side mirrors,
electrically adjustable seats,
electrically heated windshield,
leather steering wheel,
multi-function steering wheel,
power windows,
seat heating,",herr beltekoglu,+49 (0)7162 - 2083790,"postweg 11,
73084 salach, de",autohaus enes gmbh & co.kg
mercedes-benz a 160 160 avantgarde ba,,,,,,,,,,,,,,,,,,,,,,,€ 800.,,,,,,
"opel astra g lim. comfort 1.6 8v ""sportpaket""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renault kadjar 1.3 tce 103kw techno 140 5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aixam crossover | private lease vanaf: € 357 p/m,,,,,,,,,,,,,,,,,,,,,,,€ 357.,1,,,,,
skoda octavia 1.9 tdi glx ** au/hu bis 12/2022 **,,,,,,,,,,,,,,,,,,,,,,,€ 990.,,,,,,
autobianchi a 112 abarth 70hp,,,,,,,,,,,,,,,,,,,,,,,"€ 1,000.",,,,,,
audi a4 avant 2.5 tdi,"335,244 km",04/2003,120 kw (163 hp),manual,"2,496 cc",5,diesel,7.1 l/100 km (comb.),192 g/km (comb.),blue,mingblau perleffekt,,station wagon,used,5,4,germany,skoda octavia,0005/569,3,euro 3,yes,"€ 1,999.",,"air conditioning,
Armrest,
automatic climate control,
electrical side mirrors,
power windows,
seat heating,
Sunroof,",albi avni,+49 (0)7233 - 7014836,"carl-bellmer-str. 5,
75223 niefern, de",albi automobile
bmw 525 d touring*aut*leder*,,,,,,,,,,,,,,,,,,,,,,,"€ 1,300.",,,,,,
ford focus 1.4 ambiente *klimaanlage defekt*,"134,000 km",09/2001,55 kw (75 hp),manual,"1,388 cc",5,super 95,4.1 l/100 km (comb.),96 g/km (comb.),blue,lugano blau,,sedan,used,5,5,germany,s2845,8566/345,2,euro 5,yes,"€ 1,490.",,"power windows,",peter brand,+49 (0)8252 - 4044006,"augsburger str. 47,
86529 schrobenhausen, de",autohaus stiglmayr gmbh
mercedes-benz a 170 / lamellendach / klima /,"215,000 km",06/2006,85 kw (116 hp),manual,"1,699 cc",5,super 95,4.1 l/100 km (comb.),0 g/km (comb.),blue,atoll blau met.,,sedan,used,5,5,germany,mb a 170,0999/alu,2,euro 4,yes,"€ 1,900.",,"air conditioning,
electrical side mirrors,
multi-function steering wheel,
power windows,
Sunroof,
tinted windows,",ihr verkaufsteam,+49 (0)2381 - 902650,"kamener str. 144,
59077 hamm, de",autohaus excellence cars gmbh & co. kg
opel tigra alu/allwetter/sportpaket/elektrische fh,"234,500 km",11/1996,78 kw (106 hp),manual,"1,598 cc",5,super 95,6.8 l/100 km (comb.),163 g/km (comb.),blue,blau,,coupe,used,4,2,germany,2019175 gw__1,0039/934,2,euro 4,yes,"€ 1,590.",,"leather steering wheel,
power windows,
tinted windows,",ihr verkaufsteam,+49 (0)6187 - 4183003,"kilianstädter str. 34,
61137 schöneck bei frankfurt am main, de",automobil outlet-center24 gmbh
"volkswagen polo 1.0 editon ""metropol"" sondermodell",,,,,,,,,,,,,,,,,,,,,,,"€ 1,800.",,,,,,
renault modus 1.6 dynamique // panorama // klimaanlage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acm 4 wd 2.0 tdi 4motion sportline,,,,,,,,,,,,,,,,,,,,,,,"€ 1,500.",,"armrest,",,,,
aixam mega,,,,,,,,,,,,,,,,,,,,,,,"€ 2,000.",,,,,,
peugeot 206 1.4hdi xs,"350,000 km",01/2007,51 kw (69 hp),manual,"1,398 cc",5,diesel,4.4 l/100 km (comb.),177 g/km (comb.),white,schwarz met.,,compact,used,5,3,spain,6952125,3333/agl,2,euro 1,yes,"€ 1,900.",,"multi-function steering wheel,
power windows,
tinted windows,",contáctanos en:,+34 - 936164140,"n 150 km 6-7 (c.c. baricentro frente parquin 4),
08210 barberà del vallès, es",barimotor
austin metro metro 5p 1.0 tweed,,,,,,,,,,,,,,,,,,,,,,,"€ 1,500.",,,,,,
autobianchi fiat giardiniera kombi faltdach,,,,,,,,,,,,,,,,,,,,,,,"€ 1,500.",,,,,,
audi a4 2.4 avant*klima*schiebedach*radio*ahk,"197,250 km",06/1998,121 kw (165 hp),manual,"2,393 cc",5,gasoline,9.5 l/100 km (comb.),226 g/km (comb.),blue,perlmutt-schwarz met.,,station wagon,used,5,4,germany,494,3333/aco,2,euro 3,yes,"€ 2,999.",,"air conditioning,
electrical side mirrors,
leather steering wheel,
power windows,
rain sensor,
Sunroof,",cem karabulut,+49 (0)7032 - 8104036,"hämmerlestr. 6,
71126 gäufelden, de",autohaus cem
opel meriva 1.3 d - gps - airco - pdc,"174,821 km",12/2008,55 kw (75 hp),manual,"1,248 cc",5,diesel,4.1 l/100 km (comb.),135 g/km (comb.),blue,blauw,,compact,used,5,5,germany,22-0759,0999/alu,2,euro 4,yes,"€ 2,500.",,"air conditioning,
automatic climate control,
electrical side mirrors,
multi-function steering wheel,
navigation system,
power windows,
split rear seats,
tinted windows,",proot stani,+32 (0)498 - 527224,"begoniastraat 40,
9810 eke, be",provan motors
renault megane ii 2.0 coupe/cabrio dynamique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aixam mega truck kastenwagen mopedauto microcar 45 km,,,,,,,,,,,,,,,,,,,,,,,"€ 2,450.",,,,,,
austin-healey sprite,,,,,,,,,,,,,,,,,,,,,,,"€ 2,900.",,,,,,
audi a6 2.8 bose leder,"85,000 km",12/1997,142 kw (193 hp),manual,"2,771 cc",5,super 95,9.9 l/100 km (comb.),238 g/km (comb.),blue,blau metallic,,sedan,used,5,4,germany,15860,0588/655,2,euro 3,yes,"€ 3,000.",,"Armrest,
automatic climate control, 2 zones,
cruise control,
electrical side mirrors,
electrically adjustable seats,
leather steering wheel,
light sensor,
multi-function steering wheel,
parking assist system sensors rear,
power windows,
rain sensor,
seat heating,
split rear seats,",jürgen anding,+49 (0)3622 - 4473012,"fröttstädterweg 10,
99880 waltershausen, de","""autohaus nähring"" jürgen anding e.k."
bmw 320 da touring *harman kardon*dpf*pdc*klima*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercedes-benz c 270 cdi avantgarde*pdc*bi-xenon*shz*tempomat*,"251,228 km",04/2003,125 kw (170 hp),automatic,"2,685 cc",5,diesel,7.1 l/100 km (comb.),189 g/km (comb.),violet,amethystviolett metallic,,coupe,used,5,4,germany,9,0588/655,3,euro 3,yes,"€ 3,900.",,"air conditioning,
Armrest,
automatic climate control, 2 zones,
cruise control,
electrical side mirrors,
electrically adjustable seats,
leather steering wheel,
light sensor,
multi-function steering wheel,
parking assist system sensors front,
parking assist system sensors rear,
power windows,
seat heating,",arthur kuschnir,+49 (0)30 - 26475778,"neuköllner straße 234,
12357 berlin, de",autohaus maletzki gmbh
opel corsa d 1.2 *gas/lpg*navi*klima*pdc*touch*,"235,646 km",10/2012,63 kw (86 hp),manual,"1,229 cc",5,liquid petroleum gas (lpg),7.1 l/100 km (comb.),180 g/km (comb.),blue,royal blau,,compact,used,5,2,germany,13591,0603/622,3,euro 5,yes,"€ 3,499.",,"air conditioning,
electrical side mirrors,
hill holder,
leather steering wheel,
light sensor,
lumbar support,
multi-function steering wheel,
navigation system,
parking assist system sensors rear,
power windows,
rain sensor,
start-stop system",ein anruf zu ihrem traumwagen,+49 (0)8441 - 4744031,"pettenkoferstr. 2,
85276 pfaffenhofen an der ilm, de",myautocenter ohg
volkswagen passat variant v6 highline 4motion (3b6),,,,,,,,,,,,,,,,,,,,,,,"€ 3,900.",,,,,,
renault laguna 1.9dci privilege 120,"143,691 km",03/2002,88 kw (120 hp),manual,"1,870 cc",6,diesel,5.5 l/100 km (comb.),262 g/km (comb.),grey,blue-anthrazit perleffekt,,sedan,used,5,5,spain,7644257,0603/622,3,euro 3,yes,"€ 2,650.",,"air conditioning,
automatic climate control,
electrical side mirrors,
multi-function steering wheel,
power windows,
rain sensor,
tinted windows",contáctanos en:,+34 - 846643874,"pol. ind. larrondo edificio 1 - pabellón 4,
48180 loiu, es",gta
abarth punto evo 1.8 16v klima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw 318 td compact,"217,000 km",05/2003,85 kw (116 hp),manual,"1,995 cc",5,diesel,5.6 l/100 km (comb.),177 g/km (comb.),black,ginstergelb,,sedan,used,5,3,spain,7303714,0603/622,2,euro 1,yes,"€ 3,999.",,"air conditioning,
automatic climate control,
electrical side mirrors,
power windows,",contáctanos en:,+34 - 876753803,"c/ nicaragua 8 nave 12, polígono industrial centrovía,
50196 zaragoza, es",talleres y automoviles f. bujes
austin fx4 2.5 d london taxi leder h-zulassung,"300,000 km",08/1977,45 kw (61 hp),manual,"2,520 cc",5,diesel,5.6 l/100 km (comb.),177 g/km (comb.),red,rot,,station wagon,used,4,4,spain,10850,0603/622,2,euro 1,yes,"€ 3,980.",,"Abs,
driver-side airbag,
Immobilizer,
passenger-side airbag,
power steering",peter sörgel,+49 (0)911 - 98103300,"regensburger straße 418a,
90480 nürnberg, de",ps kfz-vertrieb gmbh
audi a3 berlina automático de 5 puertas,,,,,,,,,,,,,,,,,,,,,,,"€ 4,860.",,,,,,
bmw 328 328i coupé,"200,000 km",08/1998,140 kw (190 hp),manual,"2,793 cc",5,gasoline,9.6 l/100 km (comb.),0 g/km (comb.),white,rot,,coupe,used,5,2,spain,6863482,0603/622,2,euro 1,yes,"€ 4,490.",,"air conditioning,
power windows,
tinted windows",contáctanos en:,+34 - 936164300,"calle cami ral 187,
08490 tordera, es",fs cars
ford focus 1.8tdci trend,"207,000 km",06/2008,85 kw (116 hp),manual,"1,753 cc",5,diesel,5.2 l/100 km (comb.),153 g/km (comb.),white,blanco,,compact,used,5,3,spain,7384360,0005/apt,1,euro 5,yes,"€ 4,495.",,"air conditioning,
electrical side mirrors,
power windows,",contáctanos en:,+34 - 877979447,"c/ nicaragua, 24-b,
43204 reus, es",automedes industrial
mercedes-benz c 200 cdi automatik export,"261,400 km",06/2005,90 kw (122 hp),automatic,"2,148 cc",5,diesel,6.9 l/100 km (comb.),180 g/km (comb.),white,blanco,,sedan,used,5,4,germany,aps c200_7579,0603/622,3,euro 3,yes,"€ 4,470.",,"air conditioning,
Armrest,
automatic climate control,
cruise control,
electrical side mirrors,
electrically adjustable seats,
light sensor,
multi-function steering wheel,
navigation system,
power windows,
seat heating",ihr verkaufsteam,+49 (0)34901 - 253000,"roßlauer str. 102,
06861 dessau-roßlau, de",dabag deutsche automobilberatung gmbh
volkswagen touran 1.9 tdi 105 cv trendline dsg,,,,,,,,,,,,,,,,,,,,,,,"€ 4,900.",,,,,,
renault megane c.c. 2.0 luxe privilege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abarth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seat ibiza st 1.6 tdi style / motorlampe an!!!,"173,000 km",02/2015,77 kw (105 hp),manual,"1,598 cc",6,diesel (particle filter),5.4 l/100 km (comb.),0 g/km (comb.),silver,silber,,station wagon,used,5,5,germany,ibiza st 1.6 tdi style,7593/aew,1,euro 5,yes,"€ 4,800.",,"air conditioning,
automatic climate control,
cruise control,
electrical side mirrors,
light sensor,
multi-function steering wheel,
power windows,
seat heating,
split rear seats,
tinted windows",ihr verkaufsteam,+49 (0)2381 - 902650,"kamener str. 144,
59077 hamm, de",autohaus excellence cars gmbh & co. kg
austin 1000 de luxe ( morris),,,,,,,,,,,,,,,,,,,,,,,"€ 5,000.",,,,,,
audi a8 4.2 quattro tiptronic,"262,000 km",04/2003,246 kw (334 hp),automatic,"4,172 cc",6,gasoline,11.9 l/100 km (comb.),0 g/km (comb.),blue,silber,,sedan,used,5,4,spain,5556646,7593/aew,1,euro 5,yes,"€ 7,490.",,"air conditioning,
automatic climate control,
electrical side mirrors,
multi-function steering wheel,
power windows,
tinted windows",contáctanos en:,+34 - 865733720,"calle castell de castells 7, bajo,
3760 ondara, es",my car exclusive autos
bmw x1 xdrive20d sitzhzg. * einparkhilfe * 1.hand,"257,003 km",05/2012,130 kw (177 hp),manual,"1,995 cc",6,diesel (particle filter),5.8 l/100 km (comb.),153 g/km (comb.),bronze,silber,,off-road/pick-up,used,5,5,germany,a05,0005/apt,1,euro 5,yes,"€ 7,500.",,"air conditioning,
Armrest,
automatic climate control, 2 zones,
electrical side mirrors,
leather steering wheel,
light sensor,
multi-function steering wheel,
parking assist system sensors rear,
power windows,
rain sensor,
seat heating,
start-stop system,
tinted windows",evi stange,+49 (0)351 - 2705563,"georg-mehrtens-str. 3,
01237 dresden, de",admiral deutscher handelskontor gmbh
mercedes-benz slk 200 kompressor xenon shz pdc klimaauto.leder,"232,000 km",03/2006,120 kw (163 hp),manual,"1,796 cc",5,gasoline,8.7 l/100 km (comb.),209 g/km (comb.),silver,blanco,,convertible,used,2,2,spain,7384360,0999/263,3,euro 4,yes,"€ 7,500.",,"air conditioning,
Armrest,
automatic climate control,
cruise control,
electrical side mirrors,
leather steering wheel,
light sensor,
multi-function steering wheel,
parking assist system sensors front,
parking assist system sensors rear,
power windows,
seat heating",sebastian kühnel,+49 (0)33205 - 353981,"pappelallee 40,
14554 seddiner see, de",sebastian's kfz-handel und service
opel zafira 1.7cdti family 110,"197,543 km",03/2015,81 kw (110 hp),manual,"1,686 cc",6,diesel,5.3 l/100 km (comb.),209 g/km (comb.),grey,blanco,,van,used,7,5,spain,7296064,0999/263,3,euro 4,yes,"€ 6,990.",,"air conditioning,
electrical side mirrors,
power windows",contáctanos en:,+34 - 936163823,"trav. de les corts, 51-53. interior parking nou camp,
8028 barcelona, es",francisco jose alvarez rivadeneira
volkswagen golf 2.0tdi highline dsg,"339,000 km",04/2008,103 kw (140 hp),automatic,"1,968 cc",6,diesel,6 l/100 km (comb.),177 g/km (comb.),white,blanco,,compact,used,5,3,spain,7172614,7593/aew,2,euro 4,yes,"€ 5,900.",,"air conditioning,
automatic climate control,
electrical side mirrors,
multi-function steering wheel,
power windows,
rain sensor,
Sunroof,
tinted windows",contáctanos en:,+34 - 919378375,"c/ henares, 9,
28891 velilla de san antonio, es",ruta 66
renault scenic iii dynamique 1.5 dci*tempomat*navi*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acm hobby 545 wohnwagen 2 vorb. sauber,,,,,,,,,,,,,,,,,,,,,,,"€ 5,450.",,,,,,
acura rl,,,,,,,,,,,,,,,,,,,,,,,"€ 5,700.",,,,,,
aixam city aixam city,,,,,,,,,,,,,,,,,,,,,,,"€ 6,500.",,,,,,
austin fx4 taxi hire car fx3 engelse,,,,,,,,,,,,,,,,,,,,,,,"€ 5,900.",,,,,,
bmw 320 d coupe e92 m-paket *led*xenon*tempomat*,"251,033 km",08/2010,135 kw (184 hp),automatic,"1,995 cc",7,diesel,5.3 l/100 km (comb.),140 g/km (comb.),white,alpinweiss 3,,coupe,used,4,2,germany,1856,0005/auz,3,euro 5,yes,"€ 8,499.",,"air conditioning,
Armrest,
automatic climate control, 2 zones,
cruise control,
electrical side mirrors,
hill holder,
keyless central door lock,
leather steering wheel,
lumbar support,
multi-function steering wheel,
power windows,
rain sensor,
start-stop system",ein anruf zu ihrem traumwagen,+49 (0)8441 - 4744031,"pettenkoferstr. 2,
85276 pfaffenhofen an der ilm, de",myautocenter ohg
ford focus 1.5tdci trend+ 120,"139,000 km",05/2017,88 kw (120 hp),manual,"1,498 cc",6,diesel,3.8 l/100 km (comb.),144 g/km (comb.),white,biały,,compact,used,5,5,spain,7411145,7593/aew,1,euro 5,yes,"€ 8,800.",,"air conditioning,
automatic climate control,
cruise control,
power windows,
tinted windows",contáctanos en:,+34 - 846643737,"erdotza etorbidea, 50,
48270 markina, es",markina motor cb
mercedes-benz c 200 cdi*lordosenstütze*bluetooth*sitzheizung*,"312,789 km",12/2008,100 kw (136 hp),automatic,"2,148 cc",6,diesel,6.7 l/100 km (comb.),177 g/km (comb.),grey,tenoritgrau metalliclack,,sedan,used,5,4,germany,12,7593/aew,2,euro 4,yes,"€ 7,950.",,"air conditioning,
Armrest,
automatic climate control, 2 zones,
cruise control,
electrical side mirrors,
electrically adjustable seats,
leather steering wheel,
light sensor,
lumbar support,
multi-function steering wheel,
power windows.
seat heating",arthur kuschnir,+49 (0)30 - 26475778,"neuköllner straße 234,
12357 berlin, de",autohaus maletzki gmbh
opel astra sports sedan ultimate plus edition 1.4 turbo manue,,,,,,,,,,,,,,,,,,,,,,,"€ 9,999.",,,,,,
renault talisman 4p 1.6 dci 130cv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abarth punto evo 1.4 multiair estetico pakket 163 pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acura integra gs-r,,,,,,,,,,,,,,,,,,,,,,,"€ 9,000.",,,,,,
aiways beekman alfa 485 mercury 50 pk,,,,,,,,,,,,,,,,,,,,,,,"€ 7,950.",,,,,,
aixam d-truck 5x auf lager! mega mopedauto microcar,,,,,,,,,,,,,,,,,,,,,,,"€ 8,950.",,,,,,
alpina d3 bi-turbo tüv neu,,,,,,,,,,,,,,,,,,,,,,,"€ 9,800.",,,,,,
austin-healey sprite voor onderdelen,,,,,,,,,,,,,,,,,,,,,,,"€ 7,750.",,,,,,
autobianchi y10 turbo,,,,,,,,,,,,,,,,,,,,,,,"€ 8,900.",,,,,,
audi a5 2.0 tdi 170cv dpf,"340,000 km",06/2012,130 kw (177 hp),manual,"1,968 cc",6,diesel,5.1 l/100 km (comb.),0 g/km (comb.),red,biały,,coupe,used,4,2,spain,7281745,7593/aew,1,euro 5,yes,"€ 10,999.",,tinted windows,contáctanos en:,+34 - 919378551,"avenida de madrid nº27,
28500 arganda del rey, es",ft motor
bmw 116 116d efficient dynamics edition sport,"176,000 km",08/2014,85 kw (116 hp),manual,"1,598 cc",6,diesel,3.8 l/100 km (comb.),0 g/km (comb.),black,biały,,compact,used,5,5,spain,7548175,7593/aew,1,euro 5,yes,"€ 12,390.",,"air conditioning,
multi-function steering wheel,
power windows,
rain sensor,
start-stop system",contáctanos en:,+34 - 842817923,"barrio adarzo, 84,
39012 peñacastillo, es",carrera automoviles vehiculos certificados
renault clio 1.5dci eco2 energy business 75,"136,272 km",12/2017,55 kw (75 hp),manual,"1,461 cc",5,diesel,3.6 l/100 km (comb.),4 g/km (comb.),white,indic-blau,,compact,used,5,5,spain,6587752,8566/bfg,1,euro 6,yes,"€ 11,850.",,"electrical side mirrors,
power windows",contáctanos en:,+34 - 868273831,"partida algezar,
30620 fortuna, es","angel paulins, s.l."
abarth 500 1.4 turbo 135pk ku68913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austin mini 850 de luxe,,,,,,,,,,,,,,,,,,,,,,,"€ 11,900.",,,,,,
austin-healey sprite frogeye convertible roadster mki 1961 project,,,,,,,,,,,,,,,,,,,,,,,"€ 7,450.",,,,,,
audi a6 avant 2.0 tdi ultra s-tronic eu6 leder navi xenon,,,,,,,,,,,,,,,,,,,,,,,"€ 14,450.",,,,,,
ford focus st 2.0 ecoboost *navi*kamera*beh.lenk*lm*,"107,980 km",03/2015,184 kw (250 hp),manual,"1,999 cc",6,super e10 95,5.4 l/100 km (comb.),144 g/km (comb.),blue,indic-blau,,sedan,used,5,5,germany,65681,8566/bfg,3,euro 6,yes,"€ 14,790.",,"air conditioning,
Armrest,
automatic climate control, 2 zones,
electrical side mirrors,
electrically heated windshield,
heated steering wheel,
hill holder,
leather steering wheel,
light sensor,
multi-function steering wheel,
navigation system,
parking assist system camera,
parking assist system sensors rear,
power windows,
rain sensor,
seat heating,
split rear seats,
start-stop system,
tinted windows",ihr verkaufsteam,+49 (0)3675 - 4324008,"schreberstr. 47,
96515 sonneberg, de",hommert auto zentrum gmbh
"mercedes-benz c 200 d automaat/leder/ zo meenemen, enkel handelaar",,,,,,,,,,,,,,,,,,,,,,,"€ 14,000.",1,,,,,
volkswagen golf 2.0tdi advance 110kw,"189,500 km",09/2017,110 kw (150 hp),manual,"1,968 cc",6,diesel,4.3 l/100 km (comb.),4 g/km (comb.),grey,indic-blau,,compact,used,5,5,spain,7184842,8566/bfg,1,euro 6,yes,"€ 14,900.",,"air conditioning,
automatic climate control,
power windows,
tinted windows",contáctanos en:,+34 - 881280030,"porto sixto, s/n km. 607,
15621 cabanas, es",mspremium
9ff terex giroliftt 3318,,,,,,,,,,,,,,,,,,,,,,,"€ 15,000.",,,,,,
acm,,,,,,,,,,,,,,,,,,,,,,,"€ 13,500.",,,,,,
aixam e-coupe elektro fahrzeug mopedauto microcar 45km,,,,,,,,,,,,,,,,,,,,,,,"€ 12,950.",,,,,,
alpine a110,,,,,,,,,,,,,,,,,,,,,,,"€ 15,000.",,,,,,
"austin-healey sprite , eigenaresse sinds 1989.",,,,,,,,,,,,,,,,,,,,,,,"€ 14,500.",,,,,,
